USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  25944 17216 ?        Ss   janv.19   0:01 /usr/lib/systemd/systemd --switched-root --system --deserialize=55
root          60  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/7]
root          61  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/7]
root          62  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/7]
root          64  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/7:0H-events_highpri]
root          65  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/8]
root          66  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/8]
root          67  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/8]
root          68  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/8]
root          70  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/8:0H-events_highpri]
root          71  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/9]
root          72  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/9]
root          73  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/9]
root          74  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/9]
root          76  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/9:0H-events_highpri]
root          77  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/10]
root          78  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/10]
root          79  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/10]
root          80  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/10]
root          82  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/10:0H-events_highpri]
root          83  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/11]
root          84  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/11]
root          85  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/11]
root          86  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/11]
root          88  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/11:0H-events_highpri]
root          89  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/12]
root          90  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/12]
root          91  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/12]
root          92  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/12]
root          94  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/12:0H-events_highpri]
root          95  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/13]
root          96  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/13]
root          97  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/13]
root          98  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/13]
root         100  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/13:0H-events_highpri]
root         101  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/14]
root         102  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/14]
root         103  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/14]
root         104  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/14]
root         106  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/14:0H-events_highpri]
root         107  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/15]
root         108  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/15]
root         109  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/15]
root         110  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/15]
root         112  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/15:0H-events_highpri]
root         113  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/16]
root         114  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/16]
root         115  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/16]
root         116  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/16]
root         118  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/16:0H-events_highpri]
root         119  0.0  0.0      0     0 ?        S    janv.19   0:00 [rcub/2]
root         120  0.0  0.0      0     0 ?        S    janv.19   0:00 [rcu_exp_par_gp_kthread_worker/2]
root         121  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/17]
root         122  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/17]
root         123  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/17]
root         124  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/17]
root         126  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/17:0H-events_highpri]
root         127  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/18]
root         128  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/18]
root         129  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/18]
root         130  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/18]
root         132  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/18:0H-events_highpri]
root         133  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/19]
root         134  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/19]
root         135  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/19]
root         136  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/19]
root         138  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/19:0H-events_highpri]
root         139  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/20]
root         140  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/20]
root         141  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/20]
root         142  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/20]
root         144  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/20:0H-events_highpri]
root         145  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/21]
root         146  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/21]
root         147  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/21]
root         148  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/21]
root         150  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/21:0H-events_highpri]
root         151  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/22]
root         152  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/22]
root         153  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/22]
root         154  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/22]
root         156  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/22:0H-events_highpri]
root         157  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/23]
root         158  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/23]
root         159  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/23]
root         160  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/23]
root         162  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/23:0H-events_highpri]
root         163  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/24]
root         164  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/24]
root         165  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/24]
root         166  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/24]
root         168  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/24:0H-events_highpri]
root         169  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/25]
root         170  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/25]
root         171  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/25]
root         172  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/25]
root         174  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/25:0H-events_highpri]
root         175  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/26]
root         176  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/26]
root         177  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/26]
root         178  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/26]
root         180  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/26:0H-events_highpri]
root         181  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/27]
root         182  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/27]
root         183  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/27]
root         184  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/27]
root         186  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/27:0H-events_highpri]
root         187  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/28]
root         188  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/28]
root         189  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/28]
root         190  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/28]
root         192  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/28:0H-events_highpri]
root         193  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/29]
root         194  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/29]
root         195  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/29]
root         196  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/29]
root         198  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/29:0H-events_highpri]
root         199  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/30]
root         200  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/30]
root         201  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/30]
root         202  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/30]
root         204  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/30:0H-events_highpri]
root         205  0.0  0.0      0     0 ?        S    janv.19   0:00 [cpuhp/31]
root         206  0.0  0.0      0     0 ?        S    janv.19   0:00 [idle_inject/31]
root         207  0.0  0.0      0     0 ?        S    janv.19   0:00 [migration/31]
root         208  0.0  0.0      0     0 ?        S    janv.19   0:00 [ksoftirqd/31]
root         210  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/31:0H-events_highpri]
root         213  0.0  0.0      0     0 ?        S    janv.19   0:00 [kdevtmpfs]
root         214  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-inet_frag_wq]
root         215  0.0  0.0      0     0 ?        I    janv.19   0:00 [rcu_tasks_kthread]
root         216  0.0  0.0      0     0 ?        I    janv.19   0:00 [rcu_tasks_rude_kthread]
root         217  0.0  0.0      0     0 ?        I    janv.19   0:00 [rcu_tasks_trace_kthread]
root         218  0.0  0.0      0     0 ?        S    janv.19   0:00 [khungtaskd]
root         220  0.0  0.0      0     0 ?        S    janv.19   0:00 [oom_reaper]
root         222  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-writeback]
root         223  0.0  0.0      0     0 ?        S    janv.19   0:00 [kcompactd0]
root         224  0.8  0.0      0     0 ?        SN   janv.19   9:33 [ksmd]
root         225  0.0  0.0      0     0 ?        SN   janv.19   0:00 [khugepaged]
root         226  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-kblockd]
root         227  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-blkcg_punt_bio]
root         228  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-kintegrityd]
root         229  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/9-acpi]
root         232  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-tpm_dev_wq]
root         233  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-ata_sff]
root         234  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-edac-poller]
root         235  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-devfreq_wq]
root         236  0.0  0.0      0     0 ?        S    janv.19   0:00 [watchdogd]
root         238  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-quota_events_unbound]
root         239  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/16:1H-kblockd]
root         241  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/26-AMD-Vi]
root         242  0.0  0.0      0     0 ?        S    janv.19   0:00 [kswapd0]
root         270  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-kthrotld]
root         271  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/u131:0-hci0]
root         272  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/27-aerdrv]
root         273  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/28-aerdrv]
root         274  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/29-aerdrv]
root         275  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/31-aerdrv]
root         276  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/32-aerdrv]
root         277  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-acpi_thermal_pm]
root         278  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_0]
root         279  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_0]
root         280  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_1]
root         281  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_1]
root         282  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_2]
root         283  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_2]
root         284  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_3]
root         285  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_3]
root         287  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_4]
root         288  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_4]
root         289  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_5]
root         290  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_5]
root         291  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_6]
root         292  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_6]
root         293  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_7]
root         294  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_7]
root         295  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_8]
root         296  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_8]
root         297  0.0  0.0      0     0 ?        S    janv.19   0:00 [scsi_eh_9]
root         298  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-scsi_tmf_9]
root         307  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-mld]
root         308  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/1:1H-xfs-log/nvme2n1p1]
root         309  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-ipv6_addrconf]
root         310  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-kstrp]
root         314  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-zswap-shrink]
root         315  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/u132:0]
root         317  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/0:1H-kblockd]
root         324  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/12:1H-kblockd]
root         361  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/8:1H-kblockd]
root         366  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/3:1H-kblockd]
root         368  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/13:1H-kblockd]
root         375  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/25:1H-kblockd]
root         376  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/2:1H-kblockd]
root         378  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/19:1H-kblockd]
root         379  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/4:1H-kblockd]
root         381  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/14:1H-kblockd]
root         383  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/5:1H-xfs-log/nvme2n1p1]
root         385  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/15:1H-kblockd]
root         388  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/6:1H-kblockd]
root         389  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-kaluad]
root         391  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-kmpath_rdacd]
root         392  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/7:1H-kblockd]
root         395  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/29:1H-xfs-log/nvme2n1p1]
root         396  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/28:1H-kblockd]
root         399  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/30:1H-kblockd]
root         400  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/31:1H-xfs-log/nvme2n1p1]
root         402  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/18:1H-kblockd]
root         404  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/21:1H-kblockd]
root         418  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/17:1H-kblockd]
root         435  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/9:1H-kblockd]
root         509  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/24:1H-xfs-log/nvme2n1p1]
root         585  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/20:1H-kblockd]
root         586  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/22:1H-xfs-log/nvme2n1p1]
root         587  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/23:1H-kblockd]
root         588  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/10:1H-kblockd]
root         589  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/27:1H-kblockd]
root         590  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/11:1H-kblockd]
root         591  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/26:1H-kblockd]
root         599  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-nvme-wq]
root         600  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-nvme-reset-wq]
root         601  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-nvme-delete-wq]
root         602  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-nvme-auth-wq]
root         623  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-worker]
root         624  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-delalloc]
root         625  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-flush_delalloc]
root         626  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-cache]
root         627  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-fixup]
root         628  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-endio]
root         629  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-endio-meta]
root         630  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-rmw]
root         631  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-endio-write]
root         632  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-compressed-write]
root         633  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-freespace-write]
root         634  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-delayed-meta]
root         635  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-btrfs-qgroup-rescan]
root         636  0.0  0.0      0     0 ?        S    janv.19   0:00 [btrfs-cleaner]
root         637  0.0  0.0      0     0 ?        S    janv.19   0:05 [btrfs-transaction]
root         711  0.0  0.0      0     0 ?        S    janv.19   0:00 [psimon]
root         725  0.0  0.1 243976 99168 ?        Ss   janv.19   0:03 /usr/lib/systemd/systemd-journald
root         741  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-kmpathd]
root         742  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-kmpath_handlerd]
root         759  0.0  0.0  16608  8080 ?        Ss   janv.19   0:00 /usr/lib/systemd/systemd-userdbd
root         763  0.0  0.0      0     0 ?        S    janv.19   0:00 [psimon]
root         770  0.0  0.0  40276 14536 ?        Ss   janv.19   0:00 /usr/lib/systemd/systemd-udevd
root         773  0.0  0.0      0     0 ?        S    janv.19   0:00 [psimon]
root         901  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-kdmflush/252:0]
root         920  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-atlantic]
root         924  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-cfg80211]
root         931  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/180-iwlwifi:default_queue]
root         932  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/181-iwlwifi:queue_1]
root         933  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/182-iwlwifi:queue_2]
root         934  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/183-iwlwifi:queue_3]
root         935  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/184-iwlwifi:queue_4]
root         936  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/185-iwlwifi:queue_5]
root         937  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/186-iwlwifi:queue_6]
root         938  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/187-iwlwifi:queue_7]
root         939  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/188-iwlwifi:queue_8]
root         940  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/189-iwlwifi:queue_9]
root         941  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/190-iwlwifi:queue_10]
root         942  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/191-iwlwifi:queue_11]
root         943  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/192-iwlwifi:queue_12]
root         944  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/193-iwlwifi:queue_13]
root         945  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/194-iwlwifi:queue_14]
root         946  0.0  0.0      0     0 ?        S    janv.19   0:00 [irq/195-iwlwifi:exception]
root         954  0.0  0.0      0     0 ?        I<   janv.19   0:00 [kworker/R-dm_bufio_cache]
root         956  0.0  0.0      0     0 ?        S    janv.19   0:00 [nv_queue]
root         957  0.0  0.0      0     0 ?        S    janv.19   0:00 [nv_queue]
root         958  0.0  0.0      0     0 ?        S    janv.19   0:00 [nv_open_q]
